,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year,diff
312,Dallas Mavericks,104.0,New York Knicks,97.0,2016,7.0
313,San Antonio Spurs,119.0,Philadelphia 76ers,68.0,2016,51.0
314,Los Angeles Lakers,93.0,Toronto Raptors,102.0,2016,-9.0
315,Houston Rockets,105.0,Brooklyn Nets,110.0,2016,-5.0
316,Portland Trail Blazers,100.0,Cleveland Cavaliers,105.0,2016,-5.0
317,Orlando Magic,85.0,Denver Nuggets,74.0,2016,11.0
318,Golden State Warriors,131.0,Indiana Pacers,123.0,2016,8.0
319,Oklahoma City Thunder,125.0,Memphis Grizzlies,88.0,2016,37.0
320,Utah Jazz,106.0,Sacramento Kings,114.0,2016,-8.0
321,Chicago Bulls,100.0,Boston Celtics,105.0,2016,-5.0
322,Miami Heat,81.0,Charlotte Hornets,99.0,2016,-18.0
323,Atlanta Hawks,98.0,Dallas Mavericks,95.0,2016,3.0
324,Memphis Grizzlies,93.0,Detroit Pistons,92.0,2016,1.0
325,Los Angeles Clippers,109.0,Milwaukee Bucks,95.0,2016,14.0
326,Los Angeles Lakers,122.0,Minnesota Timberwolves,123.0,2016,-1.0
327,Orlando Magic,104.0,Phoenix Suns,107.0,2016,-3.0
328,San Antonio Spurs,94.0,Toronto Raptors,97.0,2016,-3.0
329,New York Knicks,85.0,Utah Jazz,106.0,2016,-21.0
330,Houston Rockets,109.0,Washington Wizards,103.0,2016,6.0
331,Philadelphia 76ers,91.0,Brooklyn Nets,100.0,2016,-9.0
332,Los Angeles Clippers,80.0,Chicago Bulls,83.0,2016,-3.0
333,Atlanta Hawks,94.0,Oklahoma City Thunder,107.0,2016,-13.0
334,New York Knicks,97.0,Sacramento Kings,99.0,2016,-2.0
335,Golden State Warriors,124.0,Boston Celtics,119.0,2016,5.0
336,Minnesota Timberwolves,108.0,Denver Nuggets,111.0,2016,-3.0
337,Miami Heat,83.0,Indiana Pacers,96.0,2016,-13.0
338,Charlotte Hornets,123.0,Memphis Grizzlies,99.0,2016,24.0
339,Washington Wizards,105.0,New Orleans Pelicans,107.0,2016,-2.0
340,Cleveland Cavaliers,111.0,Orlando Magic,76.0,2016,35.0
341,Detroit Pistons,107.0,Philadelphia 76ers,95.0,2016,12.0
342,Portland Trail Blazers,106.0,Phoenix Suns,96.0,2016,10.0
343,Los Angeles Lakers,87.0,San Antonio Spurs,109.0,2016,-22.0
344,Milwaukee Bucks,83.0,Toronto Raptors,90.0,2016,-7.0
345,Oklahoma City Thunder,94.0,Utah Jazz,90.0,2016,4.0
346,San Antonio Spurs,103.0,Atlanta Hawks,78.0,2016,25.0
347,Los Angeles Clippers,105.0,Brooklyn Nets,100.0,2016,5.0
348,New Orleans Pelicans,94.0,Chicago Bulls,98.0,2016,-4.0
349,Boston Celtics,98.0,Charlotte Hornets,93.0,2016,5.0
350,Washington Wizards,114.0,Dallas Mavericks,111.0,2016,3.0
351,Indiana Pacers,96.0,Detroit Pistons,118.0,2016,-22.0
352,Los Angeles Lakers,97.0,Houston Rockets,126.0,2016,-29.0
353,Golden State Warriors,95.0,Milwaukee Bucks,108.0,2016,-13.0
354,New York Knicks,112.0,Portland Trail Blazers,110.0,2016,2.0
355,Memphis Grizzlies,97.0,Miami Heat,100.0,2016,-3.0
356,Utah Jazz,98.0,Oklahoma City Thunder,104.0,2016,-6.0
357,Minnesota Timberwolves,101.0,Phoenix Suns,108.0,2016,-7.0
358,Philadelphia 76ers,76.0,Toronto Raptors,96.0,2016,-20.0
359,Miami Heat,100.0,Atlanta Hawks,88.0,2016,12.0
360,Orlando Magic,105.0,Brooklyn Nets,82.0,2016,23.0
361,Philadelphia 76ers,96.0,Chicago Bulls,115.0,2016,-19.0
362,Phoenix Suns,94.0,Dallas Mavericks,104.0,2016,-10.0
363,Houston Rockets,108.0,Denver Nuggets,114.0,2016,-6.0
364,Los Angeles Clippers,105.0,Detroit Pistons,103.0,2016,2.0
365,Toronto Raptors,90.0,Indiana Pacers,106.0,2016,-16.0
366,Washington Wizards,95.0,Memphis Grizzlies,112.0,2016,-17.0
367,New Orleans Pelicans,101.0,Portland Trail Blazers,105.0,2016,-4.0
368,Utah Jazz,81.0,San Antonio Spurs,118.0,2016,-37.0
369,Cleveland Cavaliers,89.0,Boston Celtics,77.0,2016,12.0
370,Milwaukee Bucks,95.0,Los Angeles Lakers,113.0,2016,-18.0
371,Denver Nuggets,112.0,Minnesota Timberwolves,100.0,2016,12.0
372,Houston Rockets,97.0,Sacramento Kings,107.0,2016,-10.0
373,Philadelphia 76ers,106.0,Atlanta Hawks,127.0,2016,-21.0
374,Miami Heat,104.0,Brooklyn Nets,98.0,2016,6.0
375,Memphis Grizzlies,85.0,Chicago Bulls,98.0,2016,-13.0
376,Boston Celtics,116.0,Detroit Pistons,119.0,2016,-3.0
377,Phoenix Suns,103.0,Golden State Warriors,128.0,2016,-25.0
378,Dallas Mavericks,81.0,Indiana Pacers,107.0,2016,-26.0
379,Milwaukee Bucks,90.0,Los Angeles Clippers,103.0,2016,-13.0
380,Minnesota Timberwolves,102.0,New York Knicks,107.0,2016,-5.0
381,Portland Trail Blazers,90.0,Oklahoma City Thunder,106.0,2016,-16.0
382,Charlotte Hornets,98.0,Orlando Magic,113.0,2016,-15.0
383,Washington Wizards,95.0,San Antonio Spurs,114.0,2016,-19.0
384,New Orleans Pelicans,104.0,Utah Jazz,94.0,2016,10.0
385,Toronto Raptors,99.0,Charlotte Hornets,109.0,2016,-10.0
386,Oklahoma City Thunder,100.0,Cleveland Cavaliers,104.0,2016,-4.0
387,Houston Rockets,107.0,Los Angeles Lakers,87.0,2016,20.0
388,Atlanta Hawks,109.0,Boston Celtics,101.0,2016,8.0
389,Detroit Pistons,147.0,Chicago Bulls,144.0,2016,3.0
390,Memphis Grizzlies,88.0,Dallas Mavericks,97.0,2016,-9.0
391,Milwaukee Bucks,112.0,Golden State Warriors,121.0,2016,-9.0
392,Brooklyn Nets,97.0,Indiana Pacers,104.0,2016,-7.0
393,Toronto Raptors,108.0,Miami Heat,94.0,2016,14.0
394,Sacramento Kings,95.0,Minnesota Timberwolves,99.0,2016,-4.0
395,Portland Trail Blazers,94.0,Orlando Magic,102.0,2016,-8.0
396,New York Knicks,107.0,Philadelphia 76ers,97.0,2016,10.0
397,New Orleans Pelicans,88.0,Phoenix Suns,104.0,2016,-16.0
398,Los Angeles Clippers,107.0,San Antonio Spurs,115.0,2016,-8.0
399,Denver Nuggets,88.0,Utah Jazz,97.0,2016,-9.0
400,Los Angeles Clippers,97.0,Houston Rockets,107.0,2016,-10.0
401,Indiana Pacers,84.0,Memphis Grizzlies,96.0,2016,-12.0
402,Chicago Bulls,91.0,New York Knicks,107.0,2016,-16.0
403,Los Angeles Lakers,78.0,Oklahoma City Thunder,118.0,2016,-40.0
404,Charlotte Hornets,101.0,Washington Wizards,109.0,2016,-8.0
405,Minnesota Timberwolves,100.0,Brooklyn Nets,85.0,2016,15.0
406,Philadelphia 76ers,86.0,Cleveland Cavaliers,108.0,2016,-22.0
407,New Orleans Pelicans,130.0,Denver Nuggets,125.0,2016,5.0
408,Portland Trail Blazers,109.0,Miami Heat,116.0,2016,-7.0
409,Atlanta Hawks,103.0,Orlando Magic,100.0,2016,3.0
410,Milwaukee Bucks,101.0,Phoenix Suns,95.0,2016,6.0
411,Sacramento Kings,104.0,Toronto Raptors,94.0,2016,10.0
412,Portland Trail Blazers,97.0,Atlanta Hawks,106.0,2016,-9.0
413,Minnesota Timberwolves,99.0,Boston Celtics,113.0,2016,-14.0
414,Brooklyn Nets,105.0,Chicago Bulls,102.0,2016,3.0
415,Charlotte Hornets,95.0,Houston Rockets,102.0,2016,-7.0
416,Oklahoma City Thunder,100.0,Los Angeles Clippers,99.0,2016,1.0
417,Orlando Magic,107.0,New York Knicks,99.0,2016,8.0
418,Indiana Pacers,92.0,San Antonio Spurs,106.0,2016,-14.0
419,Phoenix Suns,89.0,Utah Jazz,110.0,2016,-21.0
420,Sacramento Kings,99.0,Washington Wizards,113.0,2016,-14.0
421,Los Angeles Lakers,111.0,Denver Nuggets,107.0,2016,4.0
422,Detroit Pistons,93.0,Miami Heat,92.0,2016,1.0
423,Memphis Grizzlies,104.0,Philadelphia 76ers,90.0,2016,14.0
424,Dallas Mavericks,99.0,Toronto Raptors,103.0,2016,-4.0
425,Detroit Pistons,100.0,Atlanta Hawks,107.0,2016,-7.0
426,Dallas Mavericks,119.0,Brooklyn Nets,118.0,2016,1.0
427,Boston Celtics,102.0,Charlotte Hornets,89.0,2016,13.0
428,New York Knicks,84.0,Cleveland Cavaliers,91.0,2016,-7.0
429,Utah Jazz,85.0,Golden State Warriors,103.0,2016,-18.0
430,Sacramento Kings,108.0,Indiana Pacers,106.0,2016,2.0
431,Oklahoma City Thunder,120.0,Los Angeles Lakers,85.0,2016,35.0
432,Philadelphia 76ers,100.0,Milwaukee Bucks,113.0,2016,-13.0
433,San Antonio Spurs,108.0,Minnesota Timberwolves,83.0,2016,25.0
434,Portland Trail Blazers,89.0,New Orleans Pelicans,115.0,2016,-26.0
435,Houston Rockets,101.0,Orlando Magic,104.0,2016,-3.0
436,Denver Nuggets,104.0,Phoenix Suns,96.0,2016,8.0
437,Memphis Grizzlies,91.0,Washington Wizards,100.0,2016,-9.0
438,Cleveland Cavaliers,83.0,Golden State Warriors,89.0,2016,-6.0
439,San Antonio Spurs,84.0,Houston Rockets,88.0,2016,-4.0
440,Los Angeles Clippers,94.0,Los Angeles Lakers,84.0,2016,10.0
441,New Orleans Pelicans,88.0,Miami Heat,94.0,2016,-6.0
442,Chicago Bulls,105.0,Oklahoma City Thunder,96.0,2016,9.0
443,New York Knicks,98.0,Atlanta Hawks,117.0,2016,-19.0
444,Washington Wizards,111.0,Brooklyn Nets,96.0,2016,15.0
445,Memphis Grizzlies,92.0,Charlotte Hornets,98.0,2016,-6.0
446,Chicago Bulls,111.0,Dallas Mavericks,118.0,2016,-7.0
447,Boston Celtics,99.0,Detroit Pistons,93.0,2016,6.0
448,Toronto Raptors,111.0,Milwaukee Bucks,90.0,2016,21.0
449,Indiana Pacers,102.0,Minnesota Timberwolves,88.0,2016,14.0
450,Houston Rockets,108.0,New Orleans Pelicans,110.0,2016,-2.0
451,Miami Heat,108.0,Orlando Magic,101.0,2016,7.0
452,Philadelphia 76ers,111.0,Phoenix Suns,104.0,2016,7.0
453,Cleveland Cavaliers,76.0,Portland Trail Blazers,105.0,2016,-29.0
454,Denver Nuggets,86.0,San Antonio Spurs,101.0,2016,-15.0
455,Los Angeles Clippers,109.0,Utah Jazz,104.0,2016,5.0
456,New York Knicks,91.0,Boston Celtics,100.0,2016,-9.0
457,Los Angeles Lakers,96.0,Memphis Grizzlies,112.0,2016,-16.0
458,Denver Nuggets,112.0,Oklahoma City Thunder,122.0,2016,-10.0
459,Portland Trail Blazers,98.0,Sacramento Kings,94.0,2016,4.0
460,Toronto Raptors,97.0,Chicago Bulls,104.0,2016,-7.0
461,Los Angeles Lakers,98.0,Charlotte Hornets,108.0,2016,-10.0
462,Milwaukee Bucks,93.0,Dallas Mavericks,103.0,2016,-10.0
463,Sacramento Kings,103.0,Golden State Warriors,122.0,2016,-19.0
464,Atlanta Hawks,87.0,Indiana Pacers,93.0,2016,-6.0
465,Brooklyn Nets,111.0,Miami Heat,105.0,2016,6.0
466,New Orleans Pelicans,89.0,Orlando Magic,104.0,2016,-15.0
467,Cleveland Cavaliers,101.0,Phoenix Suns,97.0,2016,4.0
468,Minnesota Timberwolves,95.0,San Antonio Spurs,101.0,2016,-6.0
469,Philadelphia 76ers,91.0,Utah Jazz,95.0,2016,-4.0
470,Los Angeles Clippers,108.0,Washington Wizards,91.0,2016,17.0
471,Cleveland Cavaliers,93.0,Denver Nuggets,87.0,2016,6.0
472,Atlanta Hawks,121.0,Houston Rockets,115.0,2016,6.0
473,Miami Heat,90.0,Memphis Grizzlies,99.0,2016,-9.0
474,Detroit Pistons,96.0,New York Knicks,108.0,2016,-12.0
475,Milwaukee Bucks,123.0,Oklahoma City Thunder,131.0,2016,-8.0
476,Los Angeles Lakers,112.0,Boston Celtics,104.0,2016,8.0
477,Indiana Pacers,100.0,Chicago Bulls,102.0,2016,-2.0
478,Los Angeles Clippers,122.0,Charlotte Hornets,117.0,2016,5.0
479,Golden State Warriors,91.0,Dallas Mavericks,114.0,2016,-23.0
480,Utah Jazz,80.0,Minnesota Timberwolves,94.0,2016,-14.0
481,Brooklyn Nets,93.0,Orlando Magic,100.0,2016,-7.0
482,Denver Nuggets,103.0,Portland Trail Blazers,110.0,2016,-7.0
483,Philadelphia 76ers,110.0,Sacramento Kings,105.0,2016,5.0
484,Phoenix Suns,79.0,San Antonio Spurs,112.0,2016,-33.0
485,Washington Wizards,91.0,Toronto Raptors,94.0,2016,-3.0
486,Minnesota Timberwolves,90.0,Detroit Pistons,115.0,2016,-25.0
487,Golden State Warriors,114.0,Houston Rockets,110.0,2016,4.0
488,Milwaukee Bucks,120.0,Indiana Pacers,116.0,2016,4.0
489,Los Angeles Clippers,95.0,New Orleans Pelicans,89.0,2016,6.0
490,Phoenix Suns,106.0,Oklahoma City Thunder,110.0,2016,-4.0
491,Portland Trail Blazers,96.0,Utah Jazz,109.0,2016,-13.0
493,New York Knicks,81.0,Chicago Bulls,108.0,2016,-27.0
494,Philadelphia 76ers,84.0,Los Angeles Lakers,93.0,2016,-9.0
495,Dallas Mavericks,82.0,Miami Heat,106.0,2016,-24.0
496,Charlotte Hornets,94.0,Toronto Raptors,104.0,2016,-10.0
497,Orlando Magic,91.0,Washington Wizards,103.0,2016,-12.0
498,Brooklyn Nets,100.0,Boston Celtics,97.0,2016,3.0
499,Oklahoma City Thunder,109.0,Charlotte Hornets,90.0,2016,19.0
500,Orlando Magic,79.0,Cleveland Cavaliers,104.0,2016,-25.0
501,New Orleans Pelicans,105.0,Dallas Mavericks,98.0,2016,7.0
502,Denver Nuggets,108.0,Golden State Warriors,111.0,2016,-3.0
503,Detroit Pistons,82.0,Indiana Pacers,94.0,2016,-12.0
504,Philadelphia 76ers,99.0,Los Angeles Clippers,130.0,2016,-31.0
505,Milwaukee Bucks,95.0,Minnesota Timberwolves,85.0,2016,10.0
506,Phoenix Suns,119.0,Sacramento Kings,142.0,2016,-23.0
507,Houston Rockets,103.0,San Antonio Spurs,121.0,2016,-18.0
508,Memphis Grizzlies,87.0,Utah Jazz,92.0,2016,-5.0
509,Portland Trail Blazers,112.0,Denver Nuggets,106.0,2016,6.0
510,Phoenix Suns,77.0,Los Angeles Lakers,97.0,2016,-20.0
511,Atlanta Hawks,97.0,New York Knicks,111.0,2016,-14.0
512,Chicago Bulls,115.0,Toronto Raptors,113.0,2016,2.0
513,Miami Heat,97.0,Washington Wizards,75.0,2016,22.0
514,Boston Celtics,103.0,Brooklyn Nets,94.0,2016,9.0
515,Toronto Raptors,100.0,Cleveland Cavaliers,122.0,2016,-22.0
516,Orlando Magic,89.0,Detroit Pistons,115.0,2016,-26.0
517,Charlotte Hornets,101.0,Golden State Warriors,111.0,2016,-10.0
518,Indiana Pacers,100.0,Miami Heat,103.0,2016,-3.0
519,San Antonio Spurs,123.0,Milwaukee Bucks,98.0,2016,25.0
520,Sacramento Kings,116.0,Oklahoma City Thunder,104.0,2016,12.0
521,Minnesota Timberwolves,99.0,Philadelphia 76ers,109.0,2016,-10.0
522,Memphis Grizzlies,91.0,Portland Trail Blazers,78.0,2016,13.0
523,Houston Rockets,93.0,Utah Jazz,91.0,2016,2.0
524,New York Knicks,107.0,Atlanta Hawks,101.0,2016,6.0
525,Milwaukee Bucks,106.0,Chicago Bulls,117.0,2016,-11.0
526,Sacramento Kings,116.0,Dallas Mavericks,117.0,2016,-1.0
527,Golden State Warriors,109.0,Los Angeles Lakers,88.0,2016,21.0
528,Detroit Pistons,99.0,Boston Celtics,94.0,2016,5.0
529,Toronto Raptors,91.0,Brooklyn Nets,74.0,2016,17.0
530,New York Knicks,98.0,Miami Heat,90.0,2016,8.0
531,Denver Nuggets,78.0,Minnesota Timberwolves,74.0,2016,4.0
532,Dallas Mavericks,100.0,New Orleans Pelicans,91.0,2016,9.0
533,Memphis Grizzlies,94.0,Oklahoma City Thunder,112.0,2016,-18.0
534,Indiana Pacers,95.0,Orlando Magic,86.0,2016,9.0
535,Charlotte Hornets,102.0,Phoenix Suns,111.0,2016,-9.0
536,Los Angeles Clippers,109.0,Portland Trail Blazers,98.0,2016,11.0
537,Utah Jazz,98.0,San Antonio Spurs,123.0,2016,-25.0
538,Cleveland Cavaliers,121.0,Washington Wizards,115.0,2016,6.0
539,Boston Celtics,92.0,Chicago Bulls,101.0,2016,-9.0
540,Utah Jazz,94.0,Houston Rockets,103.0,2016,-9.0
541,Atlanta Hawks,126.0,Philadelphia 76ers,98.0,2016,28.0
542,Los Angeles Lakers,115.0,Sacramento Kings,118.0,2016,-3.0
543,Orlando Magic,83.0,Brooklyn Nets,77.0,2016,6.0
544,Oklahoma City Thunder,117.0,Los Angeles Lakers,113.0,2016,4.0
545,Denver Nuggets,84.0,Memphis Grizzlies,91.0,2016,-7.0
546,Dallas Mavericks,95.0,Milwaukee Bucks,96.0,2016,-1.0
547,Cleveland Cavaliers,125.0,Minnesota Timberwolves,99.0,2016,26.0
548,Indiana Pacers,91.0,New Orleans Pelicans,86.0,2016,5.0
549,Miami Heat,103.0,Phoenix Suns,95.0,2016,8.0
550,Golden State Warriors,128.0,Portland Trail Blazers,108.0,2016,20.0
551,New York Knicks,99.0,San Antonio Spurs,100.0,2016,-1.0
552,Toronto Raptors,97.0,Washington Wizards,88.0,2016,9.0
553,Chicago Bulls,105.0,Atlanta Hawks,120.0,2016,-15.0
554,Brooklyn Nets,89.0,Detroit Pistons,103.0,2016,-14.0
555,Charlotte Hornets,83.0,Los Angeles Clippers,97.0,2016,-14.0
556,Washington Wizards,105.0,Orlando Magic,99.0,2016,6.0
557,Toronto Raptors,108.0,Philadelphia 76ers,95.0,2016,13.0
558,Golden State Warriors,128.0,Sacramento Kings,116.0,2016,12.0
559,Miami Heat,83.0,Utah Jazz,98.0,2016,-15.0
560,Charlotte Hornets,92.0,Denver Nuggets,95.0,2016,-3.0
561,Indiana Pacers,103.0,Houston Rockets,107.0,2016,-4.0
562,New Orleans Pelicans,111.0,Los Angeles Clippers,114.0,2016,-3.0
563,Utah Jazz,86.0,Los Angeles Lakers,74.0,2016,12.0
564,Boston Celtics,98.0,Memphis Grizzlies,101.0,2016,-3.0
565,Dallas Mavericks,93.0,Minnesota Timberwolves,87.0,2016,6.0
566,Milwaukee Bucks,88.0,New York Knicks,100.0,2016,-12.0
567,Cleveland Cavaliers,95.0,Philadelphia 76ers,85.0,2016,10.0
568,Oklahoma City Thunder,110.0,Portland Trail Blazers,115.0,2016,-5.0
569,San Antonio Spurs,106.0,Brooklyn Nets,79.0,2016,27.0
570,Washington Wizards,114.0,Chicago Bulls,100.0,2016,14.0
571,Miami Heat,103.0,Golden State Warriors,111.0,2016,-8.0
572,Cleveland Cavaliers,110.0,Dallas Mavericks,107.0,2016,3.0
573,San Antonio Spurs,109.0,Detroit Pistons,99.0,2016,10.0
574,Phoenix Suns,97.0,Indiana Pacers,116.0,2016,-19.0
575,New Orleans Pelicans,91.0,Los Angeles Lakers,95.0,2016,-4.0
576,Houston Rockets,107.0,Memphis Grizzlies,91.0,2016,16.0
577,Chicago Bulls,101.0,Milwaukee Bucks,106.0,2016,-5.0
578,Oklahoma City Thunder,101.0,Minnesota Timberwolves,96.0,2016,5.0
579,Boston Celtics,114.0,New York Knicks,120.0,2016,-6.0
580,Indiana Pacers,94.0,Boston Celtics,103.0,2016,-9.0
581,New York Knicks,104.0,Brooklyn Nets,110.0,2016,-6.0
582,Atlanta Hawks,84.0,Charlotte Hornets,107.0,2016,-23.0
583,Golden State Warriors,110.0,Denver Nuggets,112.0,2016,-2.0
584,Minnesota Timberwolves,104.0,Houston Rockets,107.0,2016,-3.0
585,Miami Heat,90.0,Los Angeles Clippers,104.0,2016,-14.0
586,Dallas Mavericks,89.0,Oklahoma City Thunder,108.0,2016,-19.0
587,Utah Jazz,85.0,Portland Trail Blazers,99.0,2016,-14.0
588,New Orleans Pelicans,109.0,Sacramento Kings,97.0,2016,12.0
589,Milwaukee Bucks,101.0,Washington Wizards,106.0,2016,-5.0
590,Los Angeles Lakers,98.0,Golden State Warriors,116.0,2016,-18.0
591,Detroit Pistons,101.0,Memphis Grizzlies,103.0,2016,-2.0
592,Toronto Raptors,106.0,Orlando Magic,103.0,2016,3.0
593,Chicago Bulls,115.0,Philadelphia 76ers,111.0,2016,4.0
594,Cleveland Cavaliers,95.0,San Antonio Spurs,99.0,2016,-4.0
595,Sacramento Kings,103.0,Utah Jazz,101.0,2016,2.0
596,Phoenix Suns,103.0,Boston Celtics,117.0,2016,-14.0
597,Portland Trail Blazers,116.0,Brooklyn Nets,104.0,2016,12.0
598,Dallas Mavericks,83.0,Chicago Bulls,77.0,2016,6.0
599,Miami Heat,98.0,Denver Nuggets,95.0,2016,3.0
600,Cleveland Cavaliers,91.0,Houston Rockets,77.0,2016,14.0
601,Washington Wizards,118.0,Indiana Pacers,104.0,2016,14.0
602,Atlanta Hawks,101.0,Milwaukee Bucks,108.0,2016,-7.0
603,Charlotte Hornets,107.0,New Orleans Pelicans,109.0,2016,-2.0
604,Minnesota Timberwolves,93.0,Oklahoma City Thunder,113.0,2016,-20.0
605,Brooklyn Nets,86.0,Atlanta Hawks,114.0,2016,-28.0
606,Milwaukee Bucks,105.0,Charlotte Hornets,92.0,2016,13.0
607,Golden State Warriors,95.0,Detroit Pistons,113.0,2016,-18.0
608,Sacramento Kings,110.0,Los Angeles Clippers,103.0,2016,7.0
609,New York Knicks,95.0,Memphis Grizzlies,103.0,2016,-8.0
610,Portland Trail Blazers,89.0,Philadelphia 76ers,114.0,2016,-25.0
611,Los Angeles Lakers,82.0,Utah Jazz,109.0,2016,-27.0
612,Boston Celtics,119.0,Washington Wizards,117.0,2016,2.0
613,Indiana Pacers,126.0,Denver Nuggets,129.0,2016,-3.0
614,Houston Rockets,112.0,Los Angeles Lakers,95.0,2016,17.0
615,Phoenix Suns,87.0,Minnesota Timberwolves,117.0,2016,-30.0
616,Miami Heat,74.0,Oklahoma City Thunder,99.0,2016,-25.0
617,Dallas Mavericks,83.0,San Antonio Spurs,112.0,2016,-29.0
618,Orlando Magic,81.0,Atlanta Hawks,98.0,2016,-17.0
619,Utah Jazz,119.0,Charlotte Hornets,124.0,2016,-5.0
620,Golden State Warriors,132.0,Cleveland Cavaliers,98.0,2016,34.0
621,Boston Celtics,113.0,Dallas Mavericks,118.0,2016,-5.0
