,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year,diff
932,Detroit Pistons,89.0,New York Knicks,102.0,2016,-13.0
933,Sacramento Kings,94.0,San Antonio Spurs,104.0,2016,-10.0
934,Indiana Pacers,100.0,Washington Wizards,99.0,2016,1.0
935,Dallas Mavericks,114.0,Denver Nuggets,116.0,2016,-2.0
936,Portland Trail Blazers,103.0,Detroit Pistons,123.0,2016,-20.0
937,Golden State Warriors,95.0,Los Angeles Lakers,112.0,2016,-17.0
938,Phoenix Suns,109.0,Memphis Grizzlies,100.0,2016,9.0
939,Philadelphia 76ers,98.0,Miami Heat,103.0,2016,-5.0
940,Oklahoma City Thunder,104.0,Milwaukee Bucks,96.0,2016,8.0
941,Houston Rockets,113.0,Toronto Raptors,107.0,2016,6.0
942,Milwaukee Bucks,90.0,Chicago Bulls,100.0,2016,-10.0
943,Minnesota Timberwolves,103.0,Charlotte Hornets,108.0,2016,-5.0
944,Memphis Grizzlies,106.0,Cleveland Cavaliers,103.0,2016,3.0
945,Los Angeles Clippers,109.0,Dallas Mavericks,90.0,2016,19.0
946,Orlando Magic,113.0,Golden State Warriors,119.0,2016,-6.0
947,San Antonio Spurs,91.0,Indiana Pacers,99.0,2016,-8.0
948,Sacramento Kings,112.0,New Orleans Pelicans,115.0,2016,-3.0
949,New York Knicks,94.0,Denver Nuggets,110.0,2016,-16.0
950,Orlando Magic,98.0,Los Angeles Lakers,107.0,2016,-9.0
951,San Antonio Spurs,116.0,Minnesota Timberwolves,91.0,2016,25.0
952,Washington Wizards,109.0,Portland Trail Blazers,116.0,2016,-7.0
953,Brooklyn Nets,99.0,Toronto Raptors,104.0,2016,-5.0
954,Atlanta Hawks,91.0,Utah Jazz,84.0,2016,7.0
955,Memphis Grizzlies,96.0,Boston Celtics,116.0,2016,-20.0
956,New Orleans Pelicans,113.0,Charlotte Hornets,122.0,2016,-9.0
957,Detroit Pistons,102.0,Dallas Mavericks,96.0,2016,6.0
958,Utah Jazz,94.0,Golden State Warriors,115.0,2016,-21.0
959,Miami Heat,108.0,Milwaukee Bucks,114.0,2016,-6.0
960,Los Angeles Clippers,108.0,Oklahoma City Thunder,120.0,2016,-12.0
961,Houston Rockets,118.0,Philadelphia 76ers,104.0,2016,14.0
962,New York Knicks,128.0,Phoenix Suns,97.0,2016,31.0
963,Cleveland Cavaliers,120.0,Sacramento Kings,111.0,2016,9.0
964,Phoenix Suns,98.0,Denver Nuggets,116.0,2016,-18.0
965,Cleveland Cavaliers,120.0,Los Angeles Lakers,108.0,2016,12.0
966,Chicago Bulls,101.0,San Antonio Spurs,109.0,2016,-8.0
967,Atlanta Hawks,96.0,Toronto Raptors,104.0,2016,-8.0
968,Houston Rockets,102.0,Boston Celtics,98.0,2016,4.0
969,Miami Heat,118.0,Chicago Bulls,96.0,2016,22.0
970,Detroit Pistons,103.0,Charlotte Hornets,118.0,2016,-15.0
971,Portland Trail Blazers,112.0,Golden State Warriors,128.0,2016,-16.0
972,New York Knicks,94.0,Los Angeles Clippers,101.0,2016,-7.0
973,New Orleans Pelicans,114.0,Memphis Grizzlies,121.0,2016,-7.0
974,Minnesota Timberwolves,99.0,Oklahoma City Thunder,96.0,2016,3.0
975,Brooklyn Nets,89.0,Philadelphia 76ers,95.0,2016,-6.0
976,Orlando Magic,107.0,Sacramento Kings,100.0,2016,7.0
977,Washington Wizards,93.0,Utah Jazz,114.0,2016,-21.0
978,Memphis Grizzlies,83.0,Atlanta Hawks,95.0,2016,-12.0
979,Houston Rockets,109.0,Charlotte Hornets,125.0,2016,-16.0
980,Indiana Pacers,112.0,Dallas Mavericks,105.0,2016,7.0
981,Washington Wizards,100.0,Denver Nuggets,116.0,2016,-16.0
982,Phoenix Suns,116.0,Golden State Warriors,123.0,2016,-7.0
983,New Orleans Pelicans,92.0,Milwaukee Bucks,103.0,2016,-11.0
984,Detroit Pistons,125.0,Philadelphia 76ers,111.0,2016,14.0
985,Orlando Magic,84.0,Portland Trail Blazers,121.0,2016,-37.0
986,Oklahoma City Thunder,85.0,San Antonio Spurs,93.0,2016,-8.0
987,Miami Heat,104.0,Toronto Raptors,112.0,2016,-8.0
988,Indiana Pacers,75.0,Atlanta Hawks,104.0,2016,-29.0
989,Milwaukee Bucks,109.0,Brooklyn Nets,100.0,2016,9.0
990,Cleveland Cavaliers,114.0,Los Angeles Clippers,90.0,2016,24.0
991,New York Knicks,90.0,Los Angeles Lakers,87.0,2016,3.0
992,Utah Jazz,108.0,Sacramento Kings,99.0,2016,9.0
993,Dallas Mavericks,107.0,Charlotte Hornets,96.0,2016,11.0
994,New Orleans Pelicans,107.0,Golden State Warriors,125.0,2016,-18.0
995,Memphis Grizzlies,81.0,Houston Rockets,130.0,2016,-49.0
996,Denver Nuggets,119.0,Miami Heat,124.0,2016,-5.0
997,Portland Trail Blazers,94.0,Oklahoma City Thunder,128.0,2016,-34.0
998,Minnesota Timberwolves,104.0,Phoenix Suns,107.0,2016,-3.0
999,Chicago Bulls,109.0,Toronto Raptors,107.0,2016,2.0
1000,Cleveland Cavaliers,85.0,Utah Jazz,94.0,2016,-9.0
1001,Detroit Pistons,81.0,Washington Wizards,124.0,2016,-43.0
1002,Philadelphia 76ers,114.0,Brooklyn Nets,131.0,2016,-17.0
1003,Boston Celtics,98.0,Indiana Pacers,103.0,2016,-5.0
1004,Sacramento Kings,106.0,Los Angeles Lakers,98.0,2016,8.0
1005,Toronto Raptors,107.0,Milwaukee Bucks,89.0,2016,18.0
1006,Denver Nuggets,110.0,Orlando Magic,116.0,2016,-6.0
1007,Los Angeles Clippers,87.0,San Antonio Spurs,108.0,2016,-21.0
1008,Oklahoma City Thunder,130.0,Boston Celtics,109.0,2016,21.0
1009,Orlando Magic,99.0,Charlotte Hornets,107.0,2016,-8.0
1010,Dallas Mavericks,98.0,Cleveland Cavaliers,99.0,2016,-1.0
1011,Atlanta Hawks,118.0,Detroit Pistons,114.0,2016,4.0
1012,New York Knicks,85.0,Golden State Warriors,121.0,2016,-36.0
1013,Los Angeles Clippers,122.0,Houston Rockets,106.0,2016,16.0
1014,Minnesota Timberwolves,114.0,Memphis Grizzlies,108.0,2016,6.0
1015,New Orleans Pelicans,123.0,Sacramento Kings,108.0,2016,15.0
1016,Chicago Bulls,96.0,Washington Wizards,117.0,2016,-21.0
1017,Denver Nuggets,98.0,Atlanta Hawks,116.0,2016,-18.0
1018,Brooklyn Nets,102.0,Chicago Bulls,118.0,2016,-16.0
1019,Toronto Raptors,101.0,Indiana Pacers,94.0,2016,7.0
1020,Charlotte Hornets,109.0,Miami Heat,106.0,2016,3.0
1021,Memphis Grizzlies,86.0,Milwaukee Bucks,96.0,2016,-10.0
1022,Washington Wizards,99.0,Philadelphia 76ers,94.0,2016,5.0
1023,Portland Trail Blazers,110.0,San Antonio Spurs,118.0,2016,-8.0
1024,Phoenix Suns,69.0,Utah Jazz,103.0,2016,-34.0
1025,Golden State Warriors,130.0,Dallas Mavericks,112.0,2016,18.0
1026,Sacramento Kings,108.0,Detroit Pistons,115.0,2016,-7.0
1027,Minnesota Timberwolves,111.0,Houston Rockets,116.0,2016,-5.0
1028,Phoenix Suns,95.0,Los Angeles Lakers,90.0,2016,5.0
1029,Portland Trail Blazers,117.0,New Orleans Pelicans,112.0,2016,5.0
1030,Cleveland Cavaliers,109.0,Orlando Magic,103.0,2016,6.0
1031,Oklahoma City Thunder,111.0,Philadelphia 76ers,97.0,2016,14.0
1032,Boston Celtics,91.0,Toronto Raptors,105.0,2016,-14.0
1033,Houston Rockets,97.0,Atlanta Hawks,109.0,2016,-12.0
1034,Utah Jazz,85.0,Chicago Bulls,92.0,2016,-7.0
1035,Denver Nuggets,101.0,Charlotte Hornets,93.0,2016,8.0
1036,Brooklyn Nets,103.0,Detroit Pistons,115.0,2016,-12.0
1037,Oklahoma City Thunder,115.0,Indiana Pacers,111.0,2016,4.0
1038,Los Angeles Clippers,102.0,Memphis Grizzlies,113.0,2016,-11.0
1039,Cleveland Cavaliers,101.0,Miami Heat,122.0,2016,-21.0
1040,Golden State Warriors,79.0,San Antonio Spurs,87.0,2016,-8.0
1041,New York Knicks,89.0,Washington Wizards,99.0,2016,-10.0
1042,Portland Trail Blazers,120.0,Dallas Mavericks,132.0,2016,-12.0
1043,Utah Jazz,94.0,Milwaukee Bucks,85.0,2016,9.0
1044,Los Angeles Clippers,105.0,New Orleans Pelicans,109.0,2016,-4.0
1045,Sacramento Kings,88.0,New York Knicks,80.0,2016,8.0
1046,Boston Celtics,120.0,Philadelphia 76ers,105.0,2016,15.0
1047,Orlando Magic,100.0,Toronto Raptors,105.0,2016,-5.0
1048,Washington Wizards,117.0,Atlanta Hawks,102.0,2016,15.0
1049,Orlando Magic,96.0,Boston Celtics,107.0,2016,-11.0
1050,Sacramento Kings,102.0,Chicago Bulls,109.0,2016,-7.0
1051,San Antonio Spurs,88.0,Charlotte Hornets,91.0,2016,-3.0
1052,Denver Nuggets,91.0,Cleveland Cavaliers,124.0,2016,-33.0
1053,Milwaukee Bucks,91.0,Detroit Pistons,92.0,2016,-1.0
1054,Philadelphia 76ers,75.0,Indiana Pacers,91.0,2016,-16.0
1055,Golden State Warriors,109.0,Minnesota Timberwolves,104.0,2016,5.0
1056,Memphis Grizzlies,103.0,Phoenix Suns,97.0,2016,6.0
1057,Charlotte Hornets,105.0,Brooklyn Nets,100.0,2016,5.0
1058,Memphis Grizzlies,100.0,Los Angeles Lakers,107.0,2016,-7.0
1059,Miami Heat,113.0,New Orleans Pelicans,99.0,2016,14.0
1060,Houston Rockets,107.0,Oklahoma City Thunder,111.0,2016,-4.0
1061,Toronto Raptors,79.0,Boston Celtics,91.0,2016,-12.0
1062,New York Knicks,115.0,Chicago Bulls,107.0,2016,8.0
1063,Milwaukee Bucks,104.0,Cleveland Cavaliers,113.0,2016,-9.0
1064,Philadelphia 76ers,103.0,Denver Nuggets,104.0,2016,-1.0
1065,Orlando Magic,102.0,Detroit Pistons,118.0,2016,-16.0
1066,Los Angeles Clippers,98.0,Golden State Warriors,114.0,2016,-16.0
1067,Utah Jazz,89.0,Houston Rockets,87.0,2016,2.0
1068,Sacramento Kings,104.0,Minnesota Timberwolves,113.0,2016,-9.0
1069,Los Angeles Lakers,107.0,Phoenix Suns,119.0,2016,-12.0
1070,Dallas Mavericks,103.0,Portland Trail Blazers,109.0,2016,-6.0
1071,Miami Heat,88.0,San Antonio Spurs,112.0,2016,-24.0
1072,Atlanta Hawks,122.0,Washington Wizards,101.0,2016,21.0
1073,Cleveland Cavaliers,95.0,Brooklyn Nets,104.0,2016,-9.0
1074,New Orleans Pelicans,84.0,Indiana Pacers,92.0,2016,-8.0
1075,Portland Trail Blazers,94.0,Los Angeles Clippers,96.0,2016,-2.0
1076,Chicago Bulls,94.0,New York Knicks,106.0,2016,-12.0
1077,Utah Jazz,91.0,Oklahoma City Thunder,113.0,2016,-22.0
1078,Milwaukee Bucks,90.0,Atlanta Hawks,101.0,2016,-11.0
1079,Charlotte Hornets,105.0,Detroit Pistons,112.0,2016,-7.0
1080,Dallas Mavericks,120.0,Golden State Warriors,128.0,2016,-8.0
1081,Toronto Raptors,109.0,Houston Rockets,112.0,2016,-3.0
1082,Denver Nuggets,116.0,Los Angeles Lakers,105.0,2016,11.0
1083,Orlando Magic,97.0,Miami Heat,108.0,2016,-11.0
1084,Phoenix Suns,94.0,Sacramento Kings,116.0,2016,-22.0
1085,Memphis Grizzlies,104.0,San Antonio Spurs,110.0,2016,-6.0
1086,Minnesota Timberwolves,132.0,Washington Wizards,129.0,2016,3.0
1087,Indiana Pacers,110.0,Brooklyn Nets,120.0,2016,-10.0
1088,Atlanta Hawks,112.0,Detroit Pistons,95.0,2016,17.0
1089,Charlotte Hornets,115.0,Milwaukee Bucks,91.0,2016,24.0
1090,Utah Jazz,93.0,Minnesota Timberwolves,84.0,2016,9.0
1091,Toronto Raptors,115.0,New Orleans Pelicans,91.0,2016,24.0
1092,Cleveland Cavaliers,107.0,New York Knicks,93.0,2016,14.0
1093,San Antonio Spurs,92.0,Oklahoma City Thunder,111.0,2016,-19.0
1094,Chicago Bulls,89.0,Orlando Magic,111.0,2016,-22.0
1095,Boston Celtics,102.0,Phoenix Suns,99.0,2016,3.0
1096,Philadelphia 76ers,105.0,Portland Trail Blazers,108.0,2016,-3.0
1097,Philadelphia 76ers,105.0,Golden State Warriors,117.0,2016,-12.0
1098,Houston Rockets,101.0,Indiana Pacers,104.0,2016,-3.0
1099,Denver Nuggets,90.0,Los Angeles Clippers,105.0,2016,-15.0
1100,Washington Wizards,101.0,Los Angeles Lakers,88.0,2016,13.0
1101,Dallas Mavericks,111.0,Sacramento Kings,133.0,2016,-22.0
1102,Atlanta Hawks,102.0,Chicago Bulls,100.0,2016,2.0
1103,Dallas Mavericks,97.0,Denver Nuggets,88.0,2016,9.0
1104,Boston Celtics,90.0,Los Angeles Clippers,114.0,2016,-24.0
1105,San Antonio Spurs,101.0,Memphis Grizzlies,87.0,2016,14.0
1106,Brooklyn Nets,99.0,Miami Heat,110.0,2016,-11.0
1107,Phoenix Suns,116.0,Minnesota Timberwolves,121.0,2016,-5.0
1108,New York Knicks,91.0,New Orleans Pelicans,99.0,2016,-8.0
1109,Sacramento Kings,93.0,Portland Trail Blazers,105.0,2016,-12.0
1110,Oklahoma City Thunder,119.0,Toronto Raptors,100.0,2016,19.0
1111,Los Angeles Lakers,75.0,Utah Jazz,123.0,2016,-48.0
1112,Houston Rockets,106.0,Cleveland Cavaliers,100.0,2016,6.0
1113,Oklahoma City Thunder,82.0,Detroit Pistons,88.0,2016,-6.0
1114,Washington Wizards,94.0,Golden State Warriors,102.0,2016,-8.0
1115,Chicago Bulls,98.0,Indiana Pacers,96.0,2016,2.0
1116,Brooklyn Nets,105.0,Orlando Magic,139.0,2016,-34.0
1117,Charlotte Hornets,100.0,Philadelphia 76ers,85.0,2016,15.0
1118,New York Knicks,89.0,Dallas Mavericks,91.0,2016,-2.0
1119,Miami Heat,100.0,Los Angeles Lakers,102.0,2016,-2.0
1120,Denver Nuggets,109.0,Memphis Grizzlies,105.0,2016,4.0
1121,Phoenix Suns,94.0,Milwaukee Bucks,105.0,2016,-11.0
1122,Los Angeles Clippers,99.0,Minnesota Timberwolves,79.0,2016,20.0
1123,Washington Wizards,111.0,Sacramento Kings,120.0,2016,-9.0
1124,New Orleans Pelicans,92.0,San Antonio Spurs,100.0,2016,-8.0
1125,Atlanta Hawks,97.0,Toronto Raptors,105.0,2016,-8.0
1126,Golden State Warriors,103.0,Utah Jazz,96.0,2016,7.0
1127,Brooklyn Nets,87.0,Cleveland Cavaliers,107.0,2016,-20.0
1128,Chicago Bulls,103.0,Houston Rockets,100.0,2016,3.0
1129,Orlando Magic,114.0,Indiana Pacers,94.0,2016,20.0
1130,Denver Nuggets,95.0,New Orleans Pelicans,101.0,2016,-6.0
1131,Los Angeles Clippers,117.0,Oklahoma City Thunder,119.0,2016,-2.0
1132,Boston Celtics,109.0,Portland Trail Blazers,116.0,2016,-7.0
1134,Cleveland Cavaliers,110.0,Atlanta Hawks,108.0,2016,2.0
1135,Philadelphia 76ers,91.0,Charlotte Hornets,100.0,2016,-9.0
1136,Dallas Mavericks,98.0,Detroit Pistons,89.0,2016,9.0
1137,Boston Celtics,109.0,Golden State Warriors,106.0,2016,3.0
1138,Toronto Raptors,99.0,Memphis Grizzlies,95.0,2016,4.0
1139,Orlando Magic,110.0,Milwaukee Bucks,113.0,2016,-3.0
1140,Brooklyn Nets,91.0,New York Knicks,105.0,2016,-14.0
1141,Washington Wizards,106.0,Phoenix Suns,99.0,2016,7.0
1142,Miami Heat,112.0,Sacramento Kings,106.0,2016,6.0
1143,Minnesota Timberwolves,85.0,Utah Jazz,98.0,2016,-13.0
1144,Detroit Pistons,94.0,Chicago Bulls,90.0,2016,4.0
1145,Sacramento Kings,115.0,Denver Nuggets,106.0,2016,9.0
1146,Indiana Pacers,115.0,Philadelphia 76ers,102.0,2016,13.0
1147,Miami Heat,93.0,Portland Trail Blazers,110.0,2016,-17.0
1148,Toronto Raptors,95.0,San Antonio Spurs,102.0,2016,-7.0
1149,New Orleans Pelicans,106.0,Brooklyn Nets,87.0,2016,19.0
1150,Charlotte Hornets,103.0,Cleveland Cavaliers,112.0,2016,-9.0
1151,Portland Trail Blazers,111.0,Golden State Warriors,136.0,2016,-25.0
1152,Oklahoma City Thunder,110.0,Houston Rockets,118.0,2016,-8.0
1153,Washington Wizards,109.0,Los Angeles Clippers,114.0,2016,-5.0
1154,Boston Celtics,107.0,Los Angeles Lakers,100.0,2016,7.0
1155,Chicago Bulls,102.0,Milwaukee Bucks,98.0,2016,4.0
1156,Dallas Mavericks,88.0,Minnesota Timberwolves,78.0,2016,10.0
1157,Indiana Pacers,92.0,New York Knicks,87.0,2016,5.0
1158,Memphis Grizzlies,107.0,Orlando Magic,119.0,2016,-12.0
1159,Utah Jazz,101.0,Phoenix Suns,86.0,2016,15.0
1160,Phoenix Suns,90.0,Atlanta Hawks,103.0,2016,-13.0
1161,Oklahoma City Thunder,124.0,Denver Nuggets,102.0,2016,22.0
1162,Minnesota Timberwolves,124.0,Golden State Warriors,117.0,2016,7.0
1163,Los Angeles Lakers,81.0,Los Angeles Clippers,103.0,2016,-22.0
1164,Chicago Bulls,92.0,Memphis Grizzlies,108.0,2016,-16.0
1165,Detroit Pistons,89.0,Miami Heat,107.0,2016,-18.0
1166,Cleveland Cavaliers,109.0,Milwaukee Bucks,80.0,2016,29.0
1167,New Orleans Pelicans,93.0,Philadelphia 76ers,107.0,2016,-14.0
1168,Portland Trail Blazers,115.0,Sacramento Kings,107.0,2016,8.0
1169,Charlotte Hornets,90.0,Toronto Raptors,96.0,2016,-6.0
1170,San Antonio Spurs,88.0,Utah Jazz,86.0,2016,2.0
1171,New Orleans Pelicans,97.0,Boston Celtics,104.0,2016,-7.0
1172,Houston Rockets,86.0,Dallas Mavericks,88.0,2016,-2.0
1173,Cleveland Cavaliers,109.0,Indiana Pacers,123.0,2016,-14.0
1174,Los Angeles Clippers,91.0,Los Angeles Lakers,81.0,2016,10.0
1175,Charlotte Hornets,111.0,New York Knicks,97.0,2016,14.0
1176,Detroit Pistons,108.0,Orlando Magic,104.0,2016,4.0
1177,Oklahoma City Thunder,115.0,Portland Trail Blazers,120.0,2016,-5.0
1178,Brooklyn Nets,103.0,Washington Wizards,121.0,2016,-18.0
1179,Toronto Raptors,87.0,Atlanta Hawks,95.0,2016,-8.0
1180,San Antonio Spurs,101.0,Golden State Warriors,112.0,2016,-11.0
1181,Phoenix Suns,124.0,Houston Rockets,115.0,2016,9.0
1182,Chicago Bulls,98.0,Miami Heat,106.0,2016,-8.0
1183,Minnesota Timberwolves,105.0,Sacramento Kings,97.0,2016,8.0
1184,Milwaukee Bucks,109.0,Boston Celtics,124.0,2016,-15.0
1185,Brooklyn Nets,99.0,Charlotte Hornets,113.0,2016,-14.0
1186,Memphis Grizzlies,93.0,Dallas Mavericks,103.0,2016,-10.0
1187,San Antonio Spurs,98.0,Denver Nuggets,102.0,2016,-4.0
1188,Washington Wizards,99.0,Detroit Pistons,112.0,2016,-13.0
1189,Los Angeles Lakers,102.0,New Orleans Pelicans,110.0,2016,-8.0
1190,Miami Heat,109.0,Orlando Magic,112.0,2016,-3.0
1191,New York Knicks,109.0,Philadelphia 76ers,102.0,2016,7.0
1192,Indiana Pacers,98.0,Toronto Raptors,111.0,2016,-13.0
1193,Los Angeles Clippers,102.0,Utah Jazz,99.0,2016,3.0
1194,Boston Celtics,107.0,Atlanta Hawks,118.0,2016,-11.0
1195,Cleveland Cavaliers,102.0,Chicago Bulls,105.0,2016,-3.0
1196,Golden State Warriors,100.0,Memphis Grizzlies,99.0,2016,1.0
1197,Phoenix Suns,121.0,New Orleans Pelicans,100.0,2016,21.0
1198,Minnesota Timberwolves,106.0,Portland Trail Blazers,105.0,2016,1.0
1199,Oklahoma City Thunder,112.0,Sacramento Kings,114.0,2016,-2.0
1200,Utah Jazz,100.0,Denver Nuggets,84.0,2016,16.0
1201,Los Angeles Lakers,110.0,Houston Rockets,130.0,2016,-20.0
1202,Brooklyn Nets,105.0,Indiana Pacers,129.0,2016,-24.0
1203,Dallas Mavericks,91.0,Los Angeles Clippers,98.0,2016,-7.0
1204,Orlando Magic,96.0,Miami Heat,118.0,2016,-22.0
1205,Toronto Raptors,93.0,New York Knicks,89.0,2016,4.0
1206,Milwaukee Bucks,109.0,Philadelphia 76ers,108.0,2016,1.0
1207,Golden State Warriors,92.0,San Antonio Spurs,86.0,2016,6.0
1208,Charlotte Hornets,98.0,Washington Wizards,113.0,2016,-15.0
1209,Charlotte Hornets,114.0,Boston Celtics,100.0,2016,14.0
1210,Washington Wizards,120.0,Brooklyn Nets,111.0,2016,9.0
1211,Atlanta Hawks,94.0,Cleveland Cavaliers,109.0,2016,-15.0
1212,Houston Rockets,129.0,Minnesota Timberwolves,105.0,2016,24.0
1213,Chicago Bulls,121.0,New Orleans Pelicans,116.0,2016,5.0
1214,Los Angeles Lakers,79.0,Oklahoma City Thunder,112.0,2016,-33.0
1215,Milwaukee Bucks,98.0,Orlando Magic,107.0,2016,-9.0
1216,Sacramento Kings,105.0,Phoenix Suns,101.0,2016,4.0
1217,Dallas Mavericks,101.0,Utah Jazz,92.0,2016,9.0
1218,Miami Heat,99.0,Detroit Pistons,93.0,2016,6.0
1219,New York Knicks,90.0,Indiana Pacers,102.0,2016,-12.0
1220,Memphis Grizzlies,84.0,Los Angeles Clippers,110.0,2016,-26.0
1221,Oklahoma City Thunder,98.0,San Antonio Spurs,102.0,2016,-4.0
1222,Philadelphia 76ers,98.0,Toronto Raptors,122.0,2016,-24.0
1223,Miami Heat,88.0,Boston Celtics,98.0,2016,-10.0
1224,Toronto Raptors,103.0,Brooklyn Nets,96.0,2016,7.0
1225,Philadelphia 76ers,105.0,Chicago Bulls,115.0,2016,-10.0
1226,Orlando Magic,103.0,Charlotte Hornets,117.0,2016,-14.0
1227,Detroit Pistons,112.0,Cleveland Cavaliers,110.0,2016,2.0
1228,San Antonio Spurs,96.0,Dallas Mavericks,91.0,2016,5.0
1229,Memphis Grizzlies,104.0,Golden State Warriors,125.0,2016,-21.0
1230,Sacramento Kings,81.0,Houston Rockets,116.0,2016,-35.0
1231,Utah Jazz,96.0,Los Angeles Lakers,101.0,2016,-5.0
1232,Indiana Pacers,97.0,Milwaukee Bucks,92.0,2016,5.0
1233,New Orleans Pelicans,109.0,Minnesota Timberwolves,144.0,2016,-35.0
1234,Los Angeles Clippers,105.0,Phoenix Suns,114.0,2016,-9.0
1235,Denver Nuggets,99.0,Portland Trail Blazers,107.0,2016,-8.0
1236,Atlanta Hawks,98.0,Washington Wizards,109.0,2016,-11.0
